# Filename: $SCRIPT_DIR/un_re/resources/cfg_Enterprise_Naming_Standards.lst
#
# Current Cigna Standard abbreviations and alternate abbreviations.  
# Used by erwin for logical to physical name transformation.  
# This file was overhauled in 2015.  
# Abbreviations and alternates are assigned by the DMCoE.
#
# word                                                                                      | abbr               
# ----------------------------------------------------------------------------------------- | -------------------
notifications related to pharmacy coverage refill reminders and status of pharmacy orders   | RXC                
biopsy specimens in gastrointestinal ulcers cases or suspected barretts                     | BIOSPEC            
centers for medicare & medicaid services diagnosis related group                            | CMSDRG             
durable medical equipment prosthetics orthotics and supplies                                | DMEPOS             
notifications about specialty medications and delivery setup                                | RXS                
topologically integrated geographic encoding and referencing                                | TIGER              
jurisdictional utilization review appeals and complaints                                    | JURAC              
notifications about cigna programs services and products                                    | NPS                
diagnostic and statistical manual of mental disorders                                       | DSM                
health insurance portability and accountability act                                         | HIPAA              
multiple vessel percutaneous coronary interventions                                         | MULT_PCINT         
organization determinations appeals and grievances                                          | ODAG               
healthcare effectiveness data and information set                                           | HEDIS              
national injectable and immunization fee schedule                                           | NIIFS              
services access fee reimbursement expense revenue                                           | SAFER              
endoscopic retrograde cholangio pancreatography                                             | ERCP               
logical observation identifiers names and codes                                             | LOINC              
national association of insurance commissioners                                             | NAIC               
national council for prescription drug programs                                             | NCPDP              
perforation within upper gastrointestinal tract                                             | PERFGI             
coverage determinations appeals and grievances                                              | CDAG               
endoscopic retrograde cholangiopancreatography                                              | ERCP               
national institute of standards and technology                                              | NIST               
percutaneous transluminal coronary angioplasty                                              | PTCA               
national plan and provider enumeration system                                               | NPPES              
north american industry classification system                                               | NAICS              
local observation identifier names and codes                                                | LOINC              
all patient refined diagnosis related group                                                 | APRDRG             
business intelligence data interoperability                                                 | BIDI               
supplemental premium after package transfer                                                 | SPAPT              
agency for healthcare research and quality                                                  | AHRQ               
connecticut general life insurance company                                                  | CGLIC              
health systems international grouper (hsi)                                                  | HSIG               
migration coordinator delta start delivery                                                  | MCDSD              
national association of boards of pharmacy                                                  | NABP               
patient protection and affordable care act                                                  | PPACA              
staged percutaneous coronary interventions                                                  | STGD_PCINT         
tetanus diphtheria and acellular pertussis                                                  | TDAP               
utilization management and case management                                                  | UMCM               
benefit exchange and technology solutions                                                   | BETS               
clinical classifications software refined                                                   | CCSR               
connecticut general insurance corporation                                                   | CGIC               
healthcare common procedure coding system                                                   | HCPCS              
individual taxpayer identification number                                                   | ITIN               
medical information decision support unit                                                   | MIDSU              
medicare severity diagnosis related group                                                   | MSDRG              
risk evaluation and mitigation strategies                                                   | REMS               
telephonic employee assistance consultant                                                   | TEAC               
us medical provider and network analytics                                                   | UMPNA              
bank administered health savings account                                                    | HSB                
capitation and care management incentive                                                    | CCMI               
caribbean mercantile bank life insurance                                                    | CMBL               
centers for medicare & medicaid services                                                    | CMS                
changing lives integrating mind and body                                                    | CLIMB              
federal information processing standards                                                    | FIPS               
generally accepted accounting principles                                                    | GAAP               
market indices american community survey                                                    | MIACS              
accelerated integrated market solutions                                                     | AIMS               
case administrative structure directory                                                     | CASD               
employee retirement income security act                                                     | ERISA              
health insurance association of america                                                     | HIAA               
international private medical insurance                                                     | IPMI               
international rehabilitation associates                                                     | IRA                
physicians office laboratory technician                                                     | POLT               
predicted unconditional discharge count                                                     | PUCD               
state pharmaceutical assistance program                                                     | SPAP               
california language assistance program                                                      | CALAP              
dental health maintenance organization                                                      | DHMO               
externally generated member identifier                                                      | EGMI               
hierarchical ingredient classification                                                      | HICL               
integrated diabetes prevention program                                                      | IDPP               
migration coordinator initial delivery                                                      | MCID               
standard metropolitan statistical area                                                      | SMSA               
utilization review and case management                                                      | URCM               
american society of anesthesiologists                                                       | ASOA               
chronic obstructive pulmonary disease                                                       | COPD               
experience rating financial reporting                                                       | ERFR               
facility utilization reporting system                                                       | FURS               
insured correspondence reference file                                                       | ICRF               
medical expense reimbursement program                                                       | MERPS              
outpatient prospective payment system                                                       | OPPS               
reimbursement option definition table                                                       | RODT               
retrospective diagnosis related group                                                       | RDRG               
special needs plans care coordination                                                       | SNCCP              
systematized nomenclature of medicine                                                       | SNOMED             
webmd health and wellness information                                                       | WMD                
american hospital formulary services                                                        | AHFS               
central eligibility nightly download                                                        | CEND               
dental expense reimbursement program                                                        | DERPS              
dialed number identification service                                                        | DNIS               
division of financial responsibility                                                        | DOFR               
enterprise reference data management                                                        | ERDM               
female of non reproductive potential                                                        | FNRP               
first tier downstream related entity                                                        | FDR                
formulary and benefit administration                                                        | FBA                
health care financing administration                                                        | HCFA               
merit based incentive payment system                                                        | MIPS               
multipurpose internet mail extension                                                        | MIME               
national committee quality assurance                                                        | NCQA               
national electronic information corp                                                        | NEIC               
national insurance producer registry                                                        | NIPR               
quality oncology practice initiative                                                        | QOPI               
acquired immune deficiency syndrome                                                         | AIDS               
administrative underwriting officer                                                         | AUO                
all patient diagnosis related group                                                         | APDRG              
ambulatory care sensitive condition                                                         | ACSC               
american board of internal medicine                                                         | ABIM               
clinical functional assessment test                                                         | CFAT               
customer information control system                                                         | CICS               
customer service monitoring process                                                         | CSMP               
electronic commerce service request                                                         | ECSR               
electronic coordination of benefits                                                         | ECOB               
enhanced therapeutic classification                                                         | ENHNCTC            
federal insurance contributions act                                                         | FICA               
financial integrated reporting mart                                                         | FIRM               
highly sensitive c reactive protein                                                         | HSCRP              
internet customer service associate                                                         | ICSA               
personally identifiable information                                                         | PII                
prospective diagnosis related group                                                         | PDRG               
resource based relative value scale                                                         | RBRVS              
temporomandibular joint dysfunction                                                         | TMJ                
accidental death and dismemberment                                                          | AD_D               
drug efficacy study implementation                                                          | DESI               
life office management association                                                          | LOMA               
medical expense reimbursement plan                                                          | MERP               
medicare administrative contractor                                                          | MAC                
percutaneous coronary intervention                                                          | PCINT              
physician quality reporting system                                                          | PQRS               
potentially avoidable complication                                                          | PACOMP             
security assertion markup language                                                          | SAML               
standard industrial classification                                                          | SIC                
ambulatory payment classification                                                           | APC                
application programming interface                                                           | API                
association solicitation material                                                           | ASM                
client structure nightly download                                                           | CSND               
common eligibility inquiry record                                                           | CEIF               
configuration management database                                                           | CMDB               
enterprise job scheduling program                                                           | ESP                
health insurance oversight system                                                           | HIOS               
hierarchical ingredient code list                                                           | HICDL              
integrated care management system                                                           | ICRMS              
mental health and substance abuse                                                           | MHSA               
multiple account experience group                                                           | MULTIACCT          
multiple account experience group                                                           | MAEG               
national health related item code                                                           | NHRIC              
nonrendering provider restriction                                                           | NPR                
repeat colonoscopy within 60 days                                                           | REPT_CLNSCPY_60DAYS
unified contact center enterprise                                                           | UCCE               
abbreviated new drug application                                                            | ANDA               
