# Filename: $SCRIPT_DIR/un_re/resources/cfg_classword_datatype_variations.lst
#
# Most CD columns should be a varchar(10).
# 
# This file will specify which CD column names are approved to vary from that, and
# what size the CD can be for those variations
# 
# Other variations for other classwords can be scanned by filtering on the
# classword column
#
# classword | column_nm                     | datatype | size | comment_txt                     
# --------- | ----------------------------- | -------- | ---- | --------------------------------
CD          | %FIPS_CD                      | VARCHAR  | 15   | For Adam Chase                  
CD          | %POSTL_CD                     | VARCHAR  | 20   | Using a wildcard for Manoj      
CD          | %PROC_CD$                     | VARCHAR  | 11   | For US1709958                   
CD          | %ST_CD                        | CHAR     | 2    | Using a wildcard for Manoj      
CD          | %ST_CD                        | VARCHAR  | 2    | Using a wildcard for Manoj      
CD          | ACCT_SUBTY_CD                 | VARCHAR  | 30   |                                 
CD          | ACCT_TY_CD                    | VARCHAR  | 30   |                                 
CD          | ARGUS_ERR_1_CD                | VARCHAR  | 3    | For US1068124                   
CD          | ARGUS_ERR_2_CD                | VARCHAR  | 3    | For US1068124                   
CD          | ARGUS_ERR_3_CD                | VARCHAR  | 3    | For US1068124                   
CD          | ARGUS_ERR_4_CD                | VARCHAR  | 3    | For US1068124                   
CD          | ARGUS_ERR_5_CD                | VARCHAR  | 3    | For US1068124                   
CD          | ATTRIB_CD                     | VARCHAR  | 20   | For DED-3648                    
CD          | ATTRIB_CD                     | VARCHAR  | 50   | For DED-3648                    
CD          | BASE_HMO_CD                   | VARCHAR  | 3    | For US1064815                   
CD          | BEN_FEAT_CD                   | VARCHAR  | 30   | For US1049744                   
CD          | BG_FIPS_CD                    | VARCHAR  | 12   | For Adam Chase                  
CD          | BILL_PROV_POSTL_CD            | VARCHAR  | 15   | Code Length should be 15        
CD          | BILL_PROV_SPECLTY_CD          | VARCHAR  | 15   | Code Length should be 15        
CD          | BILL_PROV_SRC_SPECLTY_CD      | VARCHAR  | 15   | Code Length should be 15        
CD          | BILL_PROV_ST_CD               | CHAR     | 15   | A state code                    
CD          | BILL_PROV_ST_CD               | VARCHAR  | 15   | -- 2nd variation                
CD          | BODY_SITE_CTGRY_SCAN_CD       | VARCHAR  | 100  | Code Length should be 100       
CD          | BRNCH_CD                      | VARCHAR  | 6    | For US1068124                   
