# Filename: /home/SILVER/c44774a/da_unified_rules_engine/un_re/resources/cfg_rules_exceptions.lst
#
# Rules can have exceptions for a Project, Table or Column by specifying one of
# those labels in the Exception Level field.
# 
# The object name varies depending on the Exception Level
# If the Exception Level is Project,
#       then the Object Name is compared to the current project name.
# If the Exception Level is Table,
#       then the Object Name is compared to the current table name.
# If the Exception Level is Column,
#       then the Object Name is compared to the current column name.
# 
# To specify a wildcard, specify ALL
# 
# To turn a rule off for all Projects, all Tables or all Columns, then
#       simply remove that rule from the rules.lst file
# 
# The Comment column is not used by the Rules Engine, nevertheless, it does
# come in handy to document the reason each exception is made.
#
# rule_id | project_nm       | table_nm                                     | column_nm                      | exp_yyyymmdd_dt     | comment_txt                    
# ------- | ---------------- | -------------------------------------------- | ------------------------------ | ------------------- | -------------------------------
ALL       | ALL              | CUST_INTGRD_DTL_INCRMTL_SV                   | ALL                            | 20231015            | For Nithin Odungattu           
ALL       | ALL              | PROV_ADDR_CNTCT                              | ALL                            | None                | For Sugumar Balaji             
ALL       | ALL              | TEMP_PHRMRDS_PHRM_CLM_2                      | ALL                            | None                | For Sugumar Balaji             
ALL       | CCB              | REF_CLNCL_OUTRCH_COOL_CAP_DTL                | ALL                            | 20231216            | For Nithin Odungattu           
ALL       | CCB              | REF_CLNCL_OUTRCH_OPPOR                       | ALL                            | 20231216            | For Nithin Odungattu           
ALL       | CCB              | REF_CLNCL_OUTRCH_PROG                        | ALL                            | 20231216            | For Nithin Odungattu           
ALL       | CCW-V2V          | REQ_CLBRTN_PERF_DRVR_HIST                    | ALL                            | 20240701            | For Praveen Sethuraman         
ALL       | CCW-V2V          | REQ_CLBRTN_PERF_DRVR                         | ALL                            | 20240701            | For Praveen Sethuraman         
ALL       | CCW-V2V          | REQ_CLBRTN_TMC_HIST                          | ALL                            | 20240701            | For Praveen Sethuraman         
ALL       | CCW-V2V          | REQ_CLBRTN_TMC                               | ALL                            | 20240701            | For Praveen Sethuraman         
ALL       | CLAIM            | CLM_LN_OSCR                                  | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | CLAIM            | CLM_LN_PHRM_AMT_OSCR                         | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | CLAIM            | CLM_LN                                       | ALL                            | 20221101            | For Sugumar Balaji             
ALL       | CLAIM            | CLM_OSCR                                     | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | CLAIM            | CLM_PHRM_OSCR                                | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | CLAIM            | CLM_PHRM                                     | ALL                            | 20221101            | For Sugumar Balaji             
ALL       | CLAIM            | CLM_PROV_OSCR                                | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | CLINICAL         | ALL                                          | ALL                            | 20230912            | for Jyotheeswara Bandarlapalle 
ALL       | COMMON           | ALL                                          | ALL                            | 20221121            | For TDV Migration              
ALL       | EVAL             | CLM_LN_PHRM_TRNSCTN_INCRMTL_EXT_SV_OSCR      | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | EVAL             | CLM_LN_PHRM_TRNSCTN_INCRMTL_SV_OSCR          | ALL                            | 20240316            | For Kumar Chawda Tushar        
ALL       | OUTBOUND_EXTRACT | ESI_MED_CLM_EXTRT_DAILY_FORSYTH              | ALL                            | 20231215            | For Nithin Odungattu           
ALL       | OUTBOUND_EXTRACT | TMP2_CTL_EXTRACT_FORSYTH                     | ALL                            | 20231215            | For Nithin Odungattu           
ALL       | SCC_RPT          | SCC_NEPH_ALIGNED_MEMBERS_STG_DBX             | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_NEPH_CLAIM_DTL_STG_DBX                   | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_NEPH_ENC_ALGNMT_EXTRCT_DBX               | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_NEPH_ENC_CLM_DTL_EXTRT_DBX               | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_ONCLGY_ALGNMT_DTL_STG_DBX                | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_ONCLGY_ALGNMT_MED_DTL_STG_DBX            | ALL                            | 20240401            | For Faron Ryan                 
ALL       | SCC_RPT          | SCC_ONCLGY_ALGNMT_PHRM_DTL_STG_DBX           | ALL                            | 20240401            | For Faron Ryan                 
g003      | ALL              | ALL                                          | ALL                            | 20230910            | For testing                    
g003      | CBH_CLINICAL     | CREATE_DDL_DQ_TOOLS_DENTAL_OHIP_MEMBER.HQL   | ALL                            | None                | for M. Krishnasamy             
g003      | CBH_CLINICAL     | M_ODS_DHMO_CLAIM_PRC_PMT_TRANS_INCR.HQL      | ALL                            | None                | for M. Krishnasamy             
g003      | HEDIS            | ALL                                          | ALL                            | 20220301            | for Tim Collins                
g003      | TESTING          | CHECK_G003.MISSING_COMMA.HQL                 | ALL                            | None                | for testing purposes           
g011      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r201      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r203      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r213      | ALL              | ALL                                          | PATNT_AGE_AMT                  | None                | For Ellen Hogan                
r213      | ALL              | ALL                                          | PATNT_AGE_NUM                  | None                | For Ellen Hogan                
r213      | ALL              | ALL                                          | PATNT_CARD_ID_SFX_CD           | None                | For Ellen Hogan                
r213      | ALL              | CLM_PHRM_RBT_SV                              | PATNT_PAY_AMT                  | None                | For Jackson Rodrigues          
r213      | ALL              | CUST_PROF_INCRMTL_SV                         | BEN_OPT_CD                     | None                | for Tammy Rezendes             
r213      | ALL              | CUST_PROF_SV                                 | BEN_OPT_CD                     | None                | for Tammy Rezendes             
r213      | ALL              | CUST_PRVCY_AUTHZN                            | PRVCY_MBR_ID                   | None                | For Manoj Kurup                
r213      | ALL              | CUST_PRVCY_OPT_OUT                           | PRVCY_MBR_ID                   | None                | For Manoj Kurup                
r213      | ALL              | CUST_PRVCY_PREFNC                            | PRVCY_MBR_ID                   | None                | For Manoj Kurup                
r213      | ALL              | CUST_PRVCY_REP                               | PRVCY_MBR_ID                   | None                | For Manoj Kurup                
r213      | ALL              | CUST_PRVCY                                   | PRVCY_MBR_ID                   | None                | For Manoj Kurup                
r213      | ALL              | MBR_MTH_COMPRS_INCRMTL_SV                    | BEN_OPT_CD                     | None                | for Tammy Rezendes             
r213      | ALL              | MBR_MTH_COMPRS                               | BEN_OPT_CD                     | None                | for Tammy Rezendes             
