# Filename: /home/SILVER/c44774a/da_unified_rules_engine/un_re/resources/cfg_techdebt_exclusions.lst
#
# This table lists object names that are excluded from being managed as
# Techdebt.   This table is needed because Techdebt is being declared on
# deployments to avoid having to resolve large or important problems.
# 
# When the Rules Engine has a finding to report, the TechDebt ruleset indicator
# would ordinarily change the severity from an Error or Warning to a Notice.
# 
# But, if the object name matches one of the exclusions listed below, then
# it will be excluded from being managed as TechDebt.
# 
# Items in this list are stored in the global variable TECHDEBT_EXCLUSIONS
#
# object_nm                                    | activation_yyyymmdd_dt    
# -------------------------------------------- | --------------------------
FRMLRY_CD                                      | 20210412                  
LOB_CD                                         | 20210412                  
TRNSCTN_CHNL_SRC_CD                            | 20210412                  
BRND_GENRC_TY_CD                               | 20210427                  
CLM_TY_CD                                      | 20210427                  
FCT_ALGNMT_CD                                  | 20210427                  
CURR_FCT_ALGNMT_CD                             | 20210503                  
PATNT_POSTL_CD                                 | 20210503                  
PRIOR_FCT_ALGNMT_CD                            | 20210503                  
CRET_TIMESTMP                                  | 20210510                  
INCR_INGEST_TIMESTAMP                          | 20210510                  
INGEST_TIMESTAMP                               | 20210510                  
OPTIMISTIC_LOCKING_VERSION                     | 20210510                  
APDRG_GRPR_VRSN_VAL                            | 20210517                  
APRDRG_GRPR_ICD_VRSN_VAL                       | 20210517                  
BP_YEAR                                        | 20210517                  
NDC                                            | 20210517                  
UPDATE_DATETIME                                | 20210517                  
AGE_BAND_CD                                    | 20210524                  
APRDRG_WGHT_VAL                                | 20210524                  
CMSDRG_GRPR_VRSN_VAL                           | 20210524                  
FUND_ARNGMT_TY_CD                              | 20210524                  
HOSP_SVC_CD                                    | 20210524                  
MSDRG_GRPR_ICD_VRSN_VAL                        | 20210524                  
BILL_PROV_NT_ID                                | 20210601                  
FIRM_CLIENT_CNTRCT_ST_CD                       | 20210601                  
FIRM_SAR_RPT_SEG_CD                            | 20210601                  
FIRM_UND_65_IND                                | 20210601                  
MRKT_CD                                        | 20210601                  
PRODT_TY_CD                                    | 20210601                  
SUBSCRBR_STATUS                                | 20210601                  
BILL_PROV_POSTL_CD                             | 20210607                  
INSTTN_EXTRNL_CAUSE_INJURY_CD1                 | 20210607                  
INSTTN_EXTRNL_CAUSE_INJURY_CD2                 | 20210607                  
INSTTN_EXTRNL_CAUSE_INJURY_CD3                 | 20210607                  
INSTTN_EXTRNL_CAUSE_INJURY_CD4                 | 20210607                  
LKP_VAL                                        | 20210607                  
PATNT_ST_CD                                    | 20210607                  
ACCOUNTID                                      | 20210614                  
CEC_SUBSCRBR_STATUS                            | 20210614                  
CLIENT_ACCT_NUM                                | 20210614                  
HHVI_NM                                        | 20210614                  
UNIT_CODE                                      | 20210614                  
UNIT_CODE_ROLLUP                               | 20210614                  
UNIT_NAME                                      | 20210614                  
VALUE                                          | 20210614                  
ASSMT_RCH_RSLT                                 | 20210621                  
ASSMT_USR_ROLE                                 | 20210621                  
CLIENT_ID                                      | 20210621                  
CRET_TIMESTAMP                                 | 20210621                  
FRESENIUS_LAST_VISIT                           | 20210621                  
MRR_FLAG                                       | 20210621                  
NT_ID                                          | 20210621                  
OPPOR_DIR_IND                                  | 20210621                  
OTHER_LAST_VISIT                               | 20210621                  
SCC_TP                                         | 20210621                  
VENDOR                                         | 20210621                  
CLBRTN_ID                                      | 20210628                  
DESCRIPTION                                    | 20210628                  
EXPIRATION_DATE                                | 20210628                  
PCP_PROV_ID                                    | 20210628                  
ALIGNMENT_METHOD                               | 20210719                  
CNTY_NM                                        | 20210719                  
COB_MBR_EXCLUSION_INDC                         | 20210719                  
COUNTY_NM                                      | 20210719                  
CUST_FRST_NM                                   | 20210719                  
CUST_LAST_NM                                   | 20210719                  
MULTI_VENDOR_FLAG                              | 20210719                  
OVERLAP_W_VENDOR                               | 20210719                  
RPT_PER_END_DT                                 | 20210719                  
PHYSN_PROV_ID                                  | 20210726                  
PROV_ID                                        | 20210726                  
TYPE                                           | 20210726                  
CUST_POSTL_CD                                  | 20210816                  
DERV_CVR_CHRG_AMT                              | 20210816                  
PARTCPT_PROV_IND                               | 20210816                  
PROV_KEY                                       | 20210816                  
RBRVS_UNIT_WGHT                                | 20210816                  
RNDR_PROV_ID                                   | 20210816                  
ST_CD                                          | 20210816                  
TOTAL_VISITS                                   | 20210816                  
ACCOUNT_ID                                     | 20210823                  
ADDR_LN1                                       | 20210823                  
BUS_ENTTY_KEY                                  | 20210823                  
BUS_ENTTY_NPI_KEY                              | 20210823                  
CHK_NUM                                        | 20210823                  
CHK_PAYMT_ST_CD                                | 20210823                  
FILL_NUM                                       | 20210823                  
CCN_CTGRY                                      | 20210914                  
DIAG_CD1                                       | 20210914                  
DIAG_CD2                                       | 20210914                  
DIAG_CD3                                       | 20210914                  
DIAG_CD4                                       | 20210914                  
DSAGE_FRM_TXT                                  | 20210914                  
EMAIL_ADDR                                     | 20210914                  
INDIV_ENTPR_ID                                 | 20210914                  
LAST_UPD_TMSTMP                                | 20210914                  
LOAD_ENV                                       | 20210914                  
MAIL_STATE_CODE                                | 20210914                  
NPI_TY_CD                                      | 20210914                  
PROCDR_CODE                                    | 20210914                  
PROCESS_NAME                                   | 20210914                  
PROJ_NM                                        | 20210914                  
RJCT_RCD_CNT                                   | 20210914                  
RTE_OF_ADMIN_TXT                               | 20210914                  
RUN_DATE                                       | 20210914                  
SRC_RCD_CNT                                    | 20210914                  
TRGT_RCD_CNT                                   | 20210914                  
BEN_ATTRB_CTGRY_CD                             | 20210921                  
CIF_LOAD_TIMESTMP                              | 20210921                  
CLM_SYS_CLM_ID_SFX                             | 20210921                  
OPERT_PROV_NM                                  | 20210921                  
SBMT_SVC_FCLTY_LOC_ST_CD                       | 20210921                  
STRNG_QTY_TXT                                  | 20210921                  
BEN_PLAN_NUM                                   | 20210928                  
BEN_PLAN_VRTN_ID                               | 20210928                  
OTHR_PROV_NM                                   | 20210928                  
CLM_NUM                                        | 20211004                  
LIST_NT_GRP_CD                                 | 20211004                  
SBMT_ADMSN_TM                                  | 20211004                  
CLM_SYS_CLM_IDN_SFX                            | 20211011                  
NT90_PROG_TY_CD                                | 20211011                  
PPO_NT_GRP_CD                                  | 20211011                  
BG_FIPS_CD                                     | 20211018                  
EFF_DT                                         | 20211018                  
HYPERTENSION_DIAGNOSIS_IND                     | 20211018                  
LAB_TEST_RSLT_NUMRC                            | 20211018                  
NEW_GPI                                        | 20211018                  
OTHR_PAYER_INS_ID                              | 20211018                  
PREDIABETES_IND                                | 20211018                  
PROV_POSTL_CD                                  | 20211018                  
PROV_SPECLTY_CD                                | 20211018                  
PROV_TAXNMY_CD                                 | 20211018                  
SBMT_PATNT_ADDR_LN_1                           | 20211018                  
SBMT_PATNT_ADDR_LN_2                           | 20211018                  
SBMT_PATNT_CITY_NM                             | 20211018                  
SBMT_SUBSCRBR_ADDR_LN_1                        | 20211018                  
SBMT_SUBSCRBR_ADDR_LN_2                        | 20211018                  
SBMT_SUBSCRBR_CITY_NM                          | 20211018                  
SBMT_SVC_FCLTY_LOC_NM                          | 20211018                  
SBMT_SVC_FCLTY_LOC_POSTL_CD                    | 20211018                  
SRC_SYS_CRET_TS                                | 20211018                  
SRC_SYS_UPDT_TS                                | 20211018                  
TRGT_SCHEMA_NM                                 | 20211018                  
TRNSCTN_DT                                     | 20211018                  
UPDT_TS                                        | 20211018                  
CLM_SYS_CLM_IDNUM_SFX                          | 20211025                  
ACTV_IND                                       | 20220131                  
CURR_FLAG                                      | 20220131                  
DIAG_TY_CD                                     | 20220131                  
FIRM_ACCT_CASE_NUM                             | 20220131                  
