#
# This file lists the rules that will be enforced for the Data Modelers
# Any lines in this file containing a '#' will be considered comments.
# Comment lines will be ignored.
#
# Columns are separated using a pipe delimiter.
#
# Severity Abbreviations:
# E     = ERROR
# W     = WARNING
# T     = TBD, To Be Developed
# N     = NA, does not apply to that rules-engine type
#
# -----+--------------+--------------------------------------------------------------------------------------------
# rule | Rules-Engine-Type:
# id   | DAMODRE      | short_description
# -----+--------------+--------------------------------------------------------------------------------------------
g001   | ERROR        | Input files must be readable in the UTF-8 code set.
# g002 | WARNING      | SQL statements must end with a semi-colon.
g003   | ERROR        | Each SQL statement must be a valid SQL statement.
# g004   | ERROR        | A database context must exist.
g005   | WARNING      | The UN_RE must be able to classify what kind of command it is reading.
g011   | WARNING      | Use consistent capitalization.
g012   | ERROR        | Ruleset Indicators must be one of the valid values.
# g013 | WARNING      | The TechDebt ruleset indicator was used
#
# -----+--------------+--------------------------------------------------------------------------------------------
# rule | Rules-Engine-Type:
# id   | DAMODRE      | short_description
# -----+--------------+--------------------------------------------------------------------------------------------
r201   | ERROR        | Physical column comment cannot be null, empty, spaces, or blank.
r203   | ERROR        | Physical column comment must be 256 characters or less.
r205   | ERROR        | Physical column name should not contain bad characters.
r207   | ERROR        | Physical column comment should not contain bad characters.
r210   | TBD          | Physical column comment should differ from the datamodel or physical column name.
r213   | ERROR        | Physical column name should not use obsolete business terms.
r214   | TBD          | Datamodel attribute name should differ from the physical column name.
r215   | TBD          | Datamodel column name should include an approved classword.
r216   | ERROR        | Physical column name should include an approved classword
r219   | ERROR        | Physical column name must not contain articles.
r221   | WARNING      | Physical column name array index should follow the classword.
r223   | TBD          | Physical column name should be derived from Datamodel name.
# -----+--------------+--------------------------------------------------------------------------------------------
# rule | Rules-Engine-Type:
# id   | DAMODRE      | short_description
# -----+--------------+--------------------------------------------------------------------------------------------
r241   | ERROR        | Physical table comment cannot be blank, empty or null.
r243   | WARNING      | Physical table comment must be 256 characters or less.
r245   | ERROR        | Physical table name should not contain bad characters.
r247   | ERROR        | Physical table comment should not contain bad characters.
r250   | TBD          | Physical table comment should be a full sentence.
r251   | TBD          | Datamodel table comment should match the physical table comment.
r253   | WARNING      | Table name should not contain obsolete business terms.
r254   | TBD          | Datamodel table name should not match the physical table name.
r255   | TBD          | Every table is represented in a physical diagram.
r256   | TBD          | The table domain is listed.
r258   | ERROR        | Table name must not contain articles.
r259   | TBD          | Datamodel table and column names should be unique.
# r260   | WARNING      | Table names should be unique.
r261   | TBD          | Physical table name should be derived from Datamodel table name.
r262   | TBD          | Table does not contain duplicate relationships.
r298   | WARNING      | TMP tables should be renamed TEMP tables.
r299   | ERROR        | Columns should use a consistent data type.
r300   | ERROR        | Table name must be 128 characters or less.
r301   | ERROR        | Column name must be 128 characters or less.
r303   | ERROR        | Physical column name should be derived from Datamodel column Names.
r306   | ERROR        | CD Columns should use a VARCHAR(10) data type.
# -----+--------------+--------------------------------------------------------------------------------------------
# rule | Rules-Engine-Type:
# id   | DAMODRE      | short_description
# -----+--------------+--------------------------------------------------------------------------------------------
# r401   | ERROR        | Create Table commands must include all required content.
r402   | WARNING      | Create Table command must exclude any unexpected content.
r403   | ERROR        | Every TD table should have a primary index.
# r404 | WARNING      | Every TD table should have a primary Index. (Duplicate of 403?)
#
r405   | ERROR        | Only collect statistics on a table once.
r406   | ERROR        | Views should say locking row for access.
r407   | ERROR        | Certain Alter Table commands are not allowed.
r408   | ERROR        | Backup table names must use the _BAK suffix.
r411   | ERROR        | Tables and views are in right database.
r412   | ERROR        | Insert statements should not say Select-star.
r413   | ERROR        | Views must have a database qualifier.
r414   | ERROR        | IDENTITY datatypes are not allowed.
r415   | ERROR        | BASE tables should not be Multiset.
r416   | ERROR        | Control characters should not be used.
r417   | TBD          | A comment is unique across the columns of a table.
r418   | TBD          | Every table should have a PK named Table_Name_KEY.
r419   | TBD          | Date/Timestamp columns come in pairs when marking intervals.
r421   | ERROR        | GRANT commands are not allowed.
#
# -----+--------------+--------------------------------------------------------------------------------------------
# rule | Rules-Engine-Type:
# id   | DAMODRE      | short_description
# -----+--------------+--------------------------------------------------------------------------------------------
