#
# This file lists the rules that are available to be enforced by this rules 
# engine.
# This configuration data is stored in the G.AVAILABLE_RULES_TO_CHECK global
# variable.   These rule IDs are available to ALL RULES_ENGINE_TYPEs.
#
# That doesn't mean they SHOULD be checked for a specific RULES_ENGINE_TYPE.
# 
# The rules that SHOULD be checked are listed in the 
# rules.<RULE_ENGINE_TYPE>.lst file.
# 
# Any lines in this file containing a '#' will be considered comments.
# Comment lines will be ignored.
#
# Columns are separated using a pipe delimiter.
#
# General rules apply to all input files.  It is not realistic to turn those
# off, so those are always on, and are included here for documentation purposes.
#
# -----+--+---------+----------------+-----------------------------------------------------------------
# rule | Rules-Engine-Type:                                                |
# id   | rule_ty_txt    | short_desc
# -----+--+---------+----------------+-----------------------------------------------------------------
g001   | GENERAL        | Input files must be readable in the UTF-8 code set.
g002   | GENERAL        | SQL statements must end with a semi-colon.
g003   | GENERAL        | Each SQL statement must be a valid SQL statement.
g004   | GENERAL        | A database context must exist.
g005   | GENERAL        | The UN_RE must be able to classify what kind of command it is reading.
g011   | GENERAL        | Use consistent capitalization.
g012   | GENERAL        | Ruleset Indicators must be one of the valid values.
# g013   | GENERAL        | The TechDebt ruleset indicator was used
#
# -----+--+---------+----------------+-----------------------------------------------------------------
# rule | Rules-Engine-Type:                                                |
# id   | rule_ty_txt    | short_desc
# -----+--+---------+----------------+-----------------------------------------------------------------
r001   | COMMAND        | Cannot grant SYSDBA permission to anyone
r002   | TABLE          | Every table must have a primary key
r003   | COLUMN         | Every column name must have a valid classword
r004   | COLUMN         | Every column must have a valid datatype for its classword
r005   | COLUMN         | Objects are placed in an appropriate tablespace
r006   | COMMAND        | Certain command types are not allowed
r200   | COLUMN COMMENT | Datamodel column comment cannot be null, empty, spaces, or blank.
r201   | COLUMN COMMENT | Physical column comment cannot be null, empty, spaces, or blank.
r202   | COLUMN COMMENT | Datamodel column comment must be 256 characters or less.
r203   | COLUMN COMMENT | Physical column comment must be 256 characters or less.
r204   | COLUMN         | Datamodel column name should not contain bad characters.
r205   | COLUMN         | Physical column name should not contain bad characters.
r206   | COLUMN COMMENT | Datamodel column comment should not contain bad characters.
r207   | COLUMN COMMENT | Physical column comment should not contain bad characters.
r208   | COLUMN         | Datamodel column name should not contain underscores.
r209   | COLUMN COMMENT | Datamodel column comment should differ from the datamodel or physical column name.
r210   | COLUMN COMMENT | Physical column comment should differ from the datamodel or physical column name.
r211   | COLUMN COMMENT | Datamodel column comment should match the physical column comments.
r212   | COLUMN         | Datamodel column name should not use obsolete business terms.
r213   | COLUMN         | Physical column name should not use obsolete business terms.
r214   | COLUMN         | Datamodel column name should differ from the physical column name.
r215   | COLUMN         | Datamodel column name should include an approved classword.
r216   | COLUMN         | Physical column name should include an approved classword
r217   | COLUMN         | Column classword exceptions must be on the approved list.
r218   | COLUMN         | Datamodel column name must not contain articles.
r219   | COLUMN         | Physical column name must not contain articles.
r220   | COLUMN         | Datamodel column name array index should follow the classword.
r221   | COLUMN         | Physical column name array index should follow the classword.
r223   | COLUMN         | Physical column name should be derived from Datamodel name.
# -----+--+---------+----------------+-----------------------------------------------------------------
# rule | Rules-Engine-Type:                                                |
# id   | rule_ty_txt    | short_desc
# -----+--+---------+----------------+-----------------------------------------------------------------
r224   | DATA LINEAGE   | Source column definition should not be blank, empty or spaces.
r225   | DATA LINEAGE   | Target column definition should not be blank, empty or spaces.
r226   | DATA LINEAGE   | Target data length should be consistent with the source.
r227   | DATA LINEAGE   | Every column in a table must have a data lineage.
r228   | DATA SOURCE    | Source column definition should not be blank, empty or spaces.
r229   | DATA SOURCE    | Datamodel source table and columns have no bad characters.
r230   | DATA SOURCE    | Definition should be a full sentence.
r231   | DATA SOURCE    | Every datamodel has at least once source.
