#
# This file supplies the long descriptions for each rules
#
# These long descriptions are stored separately because they are just text
# descriptions.   They are stored like a CLOB field, which databases typically 
# store separately from other columns in the table.
#
# ==============================================================================
#
#    | Long
# ID | Description
#--- | -------------------------------------------------------------------------
# General Rules
g001 | All input files must be readable in the UTF-8 code set. This is more flexible than a pure ASCII file, as many foreign-language characters are allowed. Nevertheless, the Rules Engine cannot try to guess every possible different code set. If the file cannot be read by UTF-8, the unexpected characters need to be removed from the file. This rule is required and cannot be turned off, like other more-specific rules can be.
g002 | To be recognized as a complete SQL statement, all SQL statements must end with a semi-colon.
g003 | To be scanned further by a Rules Engine, each SQL statement must be a valid SQL statement, with no syntax errors.
g004 | A default database context must be recognized for each SQL statement, either from a command that sets a default database, or a database qualifier on the object to be created.
g005 | Teradata Create Table commands must be testable.  Example 1: Columns used in the Primary Index may not be specified to use the COMPRESS attribute.    Teradata insists on that.  Example 2: Columns used in the PARTITION BY clause of a CREATE TABLE command may not be specified to use the COMPRESS attribute.    Teradata insists on that.  Example 3: If you have a CREATE TABLE command with a PARTITION BY clause, there must be columns in the PARTITION BY clause.    (The column list cannot be empty!) Teradata insists on that
g011 | DDL statements should use a consistent naming convention for the table name and the column names. Either SNAKE_CASE should be used for those names, or CamelCase should be used. Whichever is used, it should be used consistently. Snake case separate parts of a name using an underscore. Camel Case separates parts of a name by a change of capitalization.  Without this general rule, it will not be possible to check other, specific, rules that look at name parts (parts of names).
g012 | If a Ruleset indicator is specified, it must be one of the valid values.
#--- | -------------------------------------------------------------------------
# Specific Rules 
# The following are table comment rules
r200 | The definition cannot be null, empty, spaces, or blank.
r202 | The definition length in a data model must be less than 255 characters, which is the smallest maximum length allowed length for a DBMS used at Cigna. If the definition contains more than the max allowed length and is generated in the ddl, it can cause the
r204 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r206 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r208 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r209 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r210 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r211 | Since datamodel definitions propagate to the physical definitions, they should be the same.
r212 | Standards have evolved for table and column business term names. New data design efforts should use the new business terms rather than old business terms. For example, as an international company, we should use international terminology rather than domest
r214 | Data models must use business terminology in the datamodel name and abbreviations in the physical name. Datamodel names should not be the same as physical names.
r215 | Each logical attribute in a data model must have a class word.
r218 | Business terms used in data modeling should be either a prime word, modifier, or classword. Datamodel and physical terms do not use articles (the, is, an, of) or prepositions (in, with, or).
r220 | Columns with array data should have the array number follow the classword. For example, address line 1 vs address 1 line.
r223 | Physical names should be inherited from the datamodel name. If a name is hardened, then the abbreviation may have been manually altered from the nsm inheritance.
r224 | The definition cannot be null, empty, spaces, or blank.
r225 | The target data type should be the same as the source data type
r226 | The target data type length should be greater than or equal to the source data type length.
r227 | Every column in a table must have data lineage. There is at least one data lineage entry for a table column, as noted by the presence of at least one transformation comment text for a column.
r228 | The definition cannot be null, empty, spaces, or blank.
r229 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r230 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r231 | Every data model should have at least one data source
r232 | The definition cannot be null, empty, spaces, or blank.
r233 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r234 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r235 | The internal name for a data model must correspond to the filename.
r236 | Every data model must have a NSM attached to ensure abbreviation standards are used.
r237 | The definition cannot be null, empty, spaces, or blank.
r238 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r239 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r240 | The definition cannot be null, empty, spaces, or blank.
r242 | The data-modile definition length in a data model must be less than or equal to 255 characters, which is the smallest maximum length allowed length for a DBMS used at Cigna.
r241 | The table comment cannot be null, empty, spaces, blank, or missing - all tables should have a comment.
r243 | Table comments must be less than or equal to 255 characters, which is the smallest maximum length allowed length for a DBMS used at Cigna.
r244 | A data model entity name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r247 | Table comments should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~,  etc).
#
# The following are table name rules
r245 | A table name should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~,   etc).
r246 | A data model table name, column name, or definition, should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~, etc). Datamodel names drive the generation of physical names. If generated in the ddl, bad characters can
r248 | Datamodel names drive the generation of physical names. A datamodel name with underscores can generate the wrong name in the physical model and ddl. Only physical names should contain underscores.
r249 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r250 | A definition should be a full sentence, not simply a restatement of the datamodel or physical name
r251 | Since datamodel definitions propagate to the physical definitions, they should be the same.
r253 | Table names should not use obsolete business terms.   Standards have evolved for table and column business term names. New data design efforts should use the new business terms rather than old business terms.
r254 | Data models must use business terminology in the datamodel name, and abbreviations in the physical name. Datamodel names should not be the same as physical names.
r255 | Every table should be represented in a subject area diagram.
r256 | The category of data contained within a table or data asset.
r257 | Business terms used in data modeling should be either a prime word, modifier, or classword. Datamodel and physical terms do not use articles (the, is, an, of) or prepositions (in, with, or).
r258 | Business terms used in data modeling should be either a prime word, modifier, or classword. Datamodel and physical terms do not use articles (the, is, an, of) or prepositions (in, with, or).
r259 | Data Model entity names must be unique. Attribute names within an entity must also be unique.
r261 | Physical names should be inherited from the datamodel name. If a name is hardened, then the abbreviation may have been manually altered from the nsm inheritance.
r262 | Every parent table should have a unique [Foreign Key] relationship to a child table.
r300 | The table physical name must be 128 characters or less.  Although some databases and file systems allow up to 255 characters, some Cigna tools still have a 30 character limit.  If your object name is too long, apply for a new abbreviation.
r302 | The table physical name must be abbreviated from the datamodel name using standard abbreviation tokens found in Enterprise Naming Standard 2015.
r304 | Table physical name not found in CCW_BASE.  This is informational only for projects using CCW_BASE as a reference.
r307 | Hive Create-Table-As-Select commands must specify table names that start with TEMP_.  Most other rules are skipped for Hive CTAS tables, because there are no comments and no datatypes specified by CTAS commands.
#
# The following are column comment rules
r201 | Column comments cannot be null, empty, spaces, blank, or missing - each column should have a comment.
r203 | Column comments must be less than 256 characters, which is the smallest maximum length allowed length for a DBMS used at Cigna.
r207 | A column comment should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~,  etc).
r417 | A comment should unique across the columns of a table.  For one table, there cannot be two or more columns with the same comment.  
#
# The following are column name rules
r205 | Column names should not contain bad characters (Ex. Single quote, double quote, 2 underscores together, tab, ~,  etc).
r213 | Standards have evolved for table and column business term names. New data design efforts should use the new business terms rather than old business terms.
r216 | Each physical column name must have an approved classword abbreviation
r217 | Some business terms have a built-in class word.  As such, special abbreviations have been created for these terms so that the classword is not duplicated.   For example, TIN is the abbreviation for Tax Identification Number.
r219 | Business terms used in data modeling should be either a prime word, modifier, or classword. Datamodel and physical terms do not use articles (the, is, an, of) or prepositions (in, with, or).
r221 | Columns with array data should have the array number follow the classword.  For example, address line 1 vs address 1 line.
r301 | The column physical name must be 128 characters or less.  Although some databases and file systems allow up to 255 characters, some Cigna tools still have a 30 character limit, so this is also the Enterprise standard.  Apply for a new abbreviation if you need one.
r303 | The column physical name must be abbreviated from the datamodel name using standard abbreviation tokens found in Enterprise Naming Standard 2015.
r305 | Column physical name not found in CCW_BASE.  This is informational only for projects using CCW_BASE as a reference.
r306 | Enterprise standard for Code datatype (_CD) is VARCHAR(10).  This allows for the conformed code process.  Some variations are allowed, if they are reviewed and approved.
r414 | Columns cannot use the IDENTITY data type. 
r418 | Every table must have a primary key as the first column where the column name is the name of the table plus the class word KEY as the final token. 
